price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
106000,1,1,1696,0.1928000003,34,2.925857782,6.923202991,2.173985958,0.7057218552,5
83500,1,0,1000,0.2126999944,39,2.557891369,6.684852123,2.312883615,0.4431222677,4
96000,1,1,1845,0.1860000044,37,2.951908112,7.095935822,2.507128716,0.4505334496,4
87500,1,0,975,0.1652999967,38,2.545341492,6.701019764,2.371797323,0.3850845695,4
116500,1,0,1025,0.2118999958,39,2.771011353,6.968269825,2.552675247,0.2660859525,4
87000,1,0,1014,0.2065999955,39,2.616751671,6.737553596,2.318552494,0.4387779534,4
350000,4,0,3087,0.3729999959,1,3.427276134,7.799584866,3.402545929,0.2925434411,4
83900,1,0,999,0.186499998,40,2.676206589,6.842626095,2.441801786,0.3263655007,4
84000,1,0,1030,0.2241999954,53,3.423546314,4.102239609,6.572883606,1.708233356,5
49000,1,0,1030,0.2241999954,53,3.423546314,4.102239609,6.572883606,1.708233356,5
74000,1,0,1190,0.1779000014,49,3.427906513,4.007137775,6.553772926,1.632831573,3
95900,1,1,1680,0.2358999997,34,3.405724764,4.144473076,6.566506386,1.736036897,4
72000,1,0,1260,0.1779000014,52,3.426939726,3.998450041,6.550726414,1.625422835,6
46612,1,0,1165,0.1721999943,49,3.423253059,3.962991714,6.538425922,1.595338106,4
90500,1,0,1372,0.2653999925,42,3.004404306,3.976874113,6.157597542,1.457298994,4
140000,2,0,1594,0.4406999946,8,1.917363882,3.901957035,5.09798336,0.9795228243,3
141000,2,0,1602,0.4508000016,8,1.907622218,3.91291523,5.091762066,0.9890190363,3
121500,2,0,1396,0.1836999953,0,2.348449945,3.057467461,5.184517384,0.350882411,4
99900,2,0,1170,0.2005999982,2,2.465031147,2.890067577,5.22190094,0.2020355463,3
157000,2,1,2368,0.9013000131,5,2.620728493,3.514620543,5.658622265,0.9085983038,6
36850,2,1,2847,0.4052999914,36,2.179388285,3.559949636,5.238787174,0.7127412558,5
